,k,k_uncert,cpu_time,runtime,fluxQ1,fluxQ2,fluxQ3,fluxQ4,fissQ1,fissQ2,fissQ3,fissQ4,fissEQ1,fissEQ2,fissEQ3,fissEQ4,flux_runcertQ1,flux_runcertQ2,flux_runcertQ3,flux_runcertQ4,fiss_runcertQ1,fiss_runcertQ2,fiss_runcertQ3,fiss_runcertQ4,fissE_runcertQ1,fissE_runcertQ2,fissE_runcertQ3,fissE_runcertQ4,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8
sample_00000,0.998328,0.00019,4.25590E+03,2.00419E+02,2.58072e+19,2.59137e+19,2.66972e+19,2.55698e+19,8.48903e+16,8.48834e+16,8.48279e+16,8.48645e+16,2751290.0,2751060.0,2749270.0,2750450.0,0.00112,0.00111,0.00111,0.00108,0.0006,0.0006,0.00063,0.00062,0.0006,0.0006,0.00063,0.00062,5.91952603,2.36950271,2.92365595,4.48898729,3.68321232,4.00890489,4.97036758,2.98796636
sample_00001,0.988522,0.00025,2.57457E+03,1.29840E+02,2.55266e+19,2.53322e+19,2.50665e+19,2.50811e+19,8.48692e+16,8.4857e+16,8.4855e+16,8.48538e+16,2750610.0,2750210.0,2750150.0,2750110.0,0.00142,0.00148,0.00154,0.0015,0.00076,0.00077,0.00084,0.00074,0.00076,0.00077,0.00084,0.00074,2.16238049,0.273624302,0.927740883,4.59558614,2.59882402,0.170166579,2.12404792,4.98020926
sample_00002,1.00461,0.00025,2.59130E+03,1.30070E+02,2.57118e+19,2.58141e+19,2.52396e+19,2.52265e+19,8.48155e+16,8.48412e+16,8.49198e+16,8.49075e+16,2748870.0,2749690.0,2752250.0,2751840.0,0.00167,0.00163,0.00161,0.00165,0.00076,0.00077,0.00086,0.0008,0.00076,0.00077,0.00086,0.0008,0.450100101,0.00630064362,2.51221749,3.3138636,1.91345776,3.58225182,0.280763918,4.88859544
sample_00003,0.991892,0.00025,2.57672E+03,1.29483E+02,2.56559e+19,2.57659e+19,2.52087e+19,2.55653e+19,8.48172e+16,8.48726e+16,8.48297e+16,8.47338e+16,2748920.0,2750720.0,2749330.0,2746220.0,0.00197,0.00193,0.00195,0.002,0.00082,0.00076,0.0008,0.00078,0.00082,0.00076,0.0008,0.00078,0.461105475,4.82562849,3.77135615,2.59927774,2.05601875,0.00733214833,1.10678624,5.50467092
sample_00004,0.985047,0.00025,2.56878E+03,1.29346E+02,2.54209e+19,2.61677e+19,2.58442e+19,2.52186e+19,8.48167e+16,8.49471e+16,8.47845e+16,8.49252e+16,2748910.0,2753130.0,2747870.0,2752420.0,0.00167,0.00167,0.00172,0.00169,0.0008,0.00081,0.00082,0.00083,0.0008,0.00081,0.00082,0.00083,5.24820167,3.54941553,3.33363238,3.90731003,2.09531157,5.58514516,3.77425254,2.48011971
sample_00005,0.986747,0.00024,2.57109E+03,1.29664E+02,2.57428e+19,2.54877e+19,2.53858e+19,2.58381e+19,8.48466e+16,8.47844e+16,8.49249e+16,8.48346e+16,2749880.0,2747860.0,2752420.0,2749490.0,0.00149,0.00148,0.00146,0.00146,0.00082,0.00079,0.0008,0.00072,0.00082,0.00079,0.0008,0.00072,1.0880861,4.09534394,1.46848057,0.0132471162,2.26521162,1.78034117,1.52889764,5.94233761
sample_00006,0.994361,0.00024,2.58145E+03,1.29777E+02,2.59833e+19,2.60461e+19,2.56158e+19,2.53203e+19,8.48583e+16,8.4858e+16,8.49117e+16,8.48475e+16,2750260.0,2750250.0,2751980.0,2749900.0,0.00155,0.00153,0.00152,0.00153,0.00078,0.00079,0.0008,0.00076,0.00078,0.00079,0.0008,0.00076,1.70351003,0.220035928,0.861027865,1.98312642,5.62622274,4.25416831,2.52517075,4.69777596
sample_00007,0.995737,0.00025,2.57861E+03,1.29786E+02,2.54141e+19,2.60977e+19,2.54227e+19,2.56417e+19,8.48346e+16,8.48469e+16,8.48349e+16,8.48087e+16,2749480.0,2749880.0,2749500.0,2748650.0,0.00136,0.00146,0.00142,0.00137,0.00075,0.0008,0.00078,0.00082,0.00075,0.0008,0.00078,0.00082,1.74065489,5.60967488,2.96454328,3.39551315,2.54811891,6.23435369,5.11083489,1.35055459
sample_00008,0.995217,0.00023,2.57352E+03,1.29622E+02,2.67739e+19,2.56865e+19,2.49632e+19,2.5484e+19,8.49344e+16,8.49515e+16,8.47895e+16,8.4921e+16,2752720.0,2753270.0,2748020.0,2752290.0,0.00126,0.00121,0.00123,0.00125,0.00083,0.00083,0.0008,0.00078,0.00083,0.00083,0.0008,0.00078,0.799243601,0.707010003,2.38302234,5.10439017,2.2561814,0.331371367,2.43521394,5.27473936
sample_00009,0.998084,0.00024,2.58520E+03,1.29927E+02,2.56327e+19,2.54046e+19,2.65441e+19,2.68217e+19,8.47452e+16,8.4854e+16,8.48237e+16,8.49048e+16,2746590.0,2750120.0,2749130.0,2751760.0,0.00147,0.00145,0.0015,0.00156,0.00077,0.00076,0.00078,0.00078,0.00077,0.00076,0.00078,0.00078,3.85942948,0.733804871,5.79275523,4.06966425,4.34269688,4.66691015,4.64590121,6.14888828
sample_00010,0.996447,0.00025,2.57778E+03,1.29625E+02,2.54481e+19,2.53679e+19,2.47583e+19,2.50999e+19,8.48631e+16,8.48684e+16,8.48918e+16,8.48168e+16,2750410.0,2750580.0,2751340.0,2748910.0,0.00135,0.00129,0.00131,0.00133,0.00074,0.00081,0.00077,0.00077,0.00074,0.00081,0.00077,0.00077,6.14858892,2.41732632,2.82327579,1.73148281,1.21318758,5.07531289,4.99074494,4.16045289
sample_00011,0.990925,0.00024,2.57100E+03,1.29212E+02,2.52191e+19,2.5381e+19,2.56754e+19,2.62826e+19,8.47015e+16,8.48672e+16,8.4862e+16,8.48183e+16,2745170.0,2750540.0,2750370.0,2748960.0,0.00176,0.00177,0.00174,0.00177,0.00082,0.00081,0.00081,0.00078,0.00082,0.00081,0.00081,0.00078,5.16661182,3.00941396,5.7188897,2.53074033,0.0128249494,3.82668911,5.41019136,0.911710864
sample_00012,0.988522,0.00025,2.58239E+03,1.29839E+02,2.56505e+19,2.5299e+19,2.5274e+19,2.52495e+19,8.49869e+16,8.48538e+16,8.47977e+16,8.47864e+16,2754420.0,2750110.0,2748290.0,2747920.0,0.0014,0.00145,0.00148,0.00144,0.00077,0.00083,0.0008,0.00077,0.00077,0.00083,0.0008,0.00077,6.13010614,5.52376805,3.58015152,4.74206981,3.12636003,1.71070173,2.37356593,0.421802447
sample_00013,0.991545,0.00024,2.57587E+03,1.29422E+02,2.51848e+19,2.58878e+19,2.49955e+19,2.61635e+19,8.49405e+16,8.48767e+16,8.47639e+16,8.48366e+16,2752920.0,2750850.0,2747200.0,2749550.0,0.00127,0.0013,0.0013,0.00134,0.00083,0.00086,0.0008,0.00075,0.00083,0.00086,0.0008,0.00075,2.68546451,5.04271183,3.04292046,3.53810564,0.194464139,2.01203156,4.44356788,0.122992455
sample_00014,0.990977,0.00025,2.58144E+03,1.29888E+02,2.57331e+19,2.67516e+19,2.56159e+19,2.52803e+19,8.48407e+16,8.4895e+16,8.47926e+16,8.49024e+16,2749690.0,2751440.0,2748120.0,2751680.0,0.00162,0.00167,0.00165,0.00162,0.00081,0.00075,0.00081,0.00077,0.00081,0.00075,0.00081,0.00077,3.59014718,0.271036954,2.56660211,1.92355002,2.55704303,1.52567369,2.77300526,0.87278479
sample_00015,0.98854,0.00024,2.56422E+03,1.29270E+02,2.63658e+19,2.53822e+19,2.56434e+19,2.59328e+19,8.49526e+16,8.49299e+16,8.47678e+16,8.48192e+16,2753310.0,2752570.0,2747320.0,2748990.0,0.00141,0.00143,0.00142,0.00138,0.00078,0.00081,0.00078,0.0008,0.00078,0.00081,0.00078,0.0008,6.1717883,2.53978765,4.51082291,4.55929927,5.72493376,4.77056831,2.31468838,0.101219944
sample_00016,0.997395,0.00024,2.58372E+03,1.30084E+02,2.49842e+19,2.56961e+19,2.57976e+19,2.49588e+19,8.50123e+16,8.4763e+16,8.47656e+16,8.49538e+16,2755240.0,2747160.0,2747250.0,2753350.0,0.00172,0.00172,0.00167,0.0017,0.00082,0.00081,0.00083,0.00078,0.00082,0.00081,0.00083,0.00078,5.75980595,5.54047706,1.47774379,1.78233528,4.43379806,4.65325332,5.63724186,2.52435291
