id,num_layers,layer1,layer2,layer3,layer4,layer5,lr,batch_size,score
5,5,437,258,101,75,35,0.0009,8,0.981277713
1,5,437,258,101,75,35,0.001,8,0.980730662
9,5,437,258,101,75,35,0.0008,8,0.979586295
13,5,437,258,101,75,35,0.0007,8,0.978634684
10,5,437,258,101,75,35,0.0008,16,0.978543814
6,5,437,258,101,75,35,0.0009,16,0.976393043
14,5,437,258,101,75,35,0.0007,16,0.976145318
7,5,437,258,101,75,35,0.0009,32,0.975815053
3,5,437,258,101,75,35,0.001,32,0.97489666
11,5,437,258,101,75,35,0.0008,32,0.973581055
2,5,437,258,101,75,35,0.001,16,0.973089761
15,5,437,258,101,75,35,0.0007,32,0.971897199
8,5,437,258,101,75,35,0.0009,64,0.964499527
4,5,437,258,101,75,35,0.001,64,0.960745686
12,5,437,258,101,75,35,0.0008,64,0.955794507
16,5,437,258,101,75,35,0.0007,64,0.950475259
