id,num_layers,layer1,layer2,layer3,layer4,layer5,lr,batch_size,score
8,3,423,292,109,0,0,0.0009,64,0.9608686189196459
4,3,423,292,109,0,0,0.001,64,0.9621208448885176
16,3,423,292,109,0,0,0.0007,64,0.9509040989536732
12,3,423,292,109,0,0,0.0008,64,0.9589962652128927
3,3,423,292,109,0,0,0.001,32,0.9801680315772139
15,3,423,292,109,0,0,0.0007,32,0.9769696050061427
7,3,423,292,109,0,0,0.0009,32,0.9761988747740136
11,3,423,292,109,0,0,0.0008,32,0.9742544900999544
14,3,423,292,109,0,0,0.0007,16,0.9820757263602079
6,3,423,292,109,0,0,0.0009,16,0.9844169068325861
10,3,423,292,109,0,0,0.0008,16,0.9785892056363421
2,3,423,292,109,0,0,0.001,16,0.983863493114595
1,3,423,292,109,0,0,0.001,8,0.984639929475067
13,3,423,292,109,0,0,0.0007,8,0.9827083271854931
9,3,423,292,109,0,0,0.0008,8,0.9867311604359857
5,3,423,292,109,0,0,0.0009,8,0.9806447220990335
